index,nav_date,nav_value
5750,2022-01-03,520.4608
5751,2022-01-04,515.0971
5752,2022-01-05,521.7239
5753,2022-01-06,515.788
5754,2022-01-07,515.1639
5755,2022-01-10,510.7136
5756,2022-01-11,513.5542
5757,2022-01-12,512.3195
5758,2022-01-13,510.2445
5759,2022-01-14,514.3636
5760,2022-01-17,514.7627
5761,2022-01-18,517.3803
5762,2022-01-19,513.1866
5763,2022-01-20,507.1294
5764,2022-01-21,507.871
5765,2022-01-24,506.7062
5766,2022-01-25,509.7762
5767,2022-01-26,509.68
5768,2022-01-27,510.8661
5769,2022-01-28,503.8641
5770,2022-01-31,512.5903
5771,2022-02-01,512.1124
5772,2022-02-02,515.5386
5773,2022-02-03,512.0153
5774,2022-02-04,513.6729
5775,2022-02-07,508.0666
5776,2022-02-08,510.3595
5777,2022-02-09,509.0223
5778,2022-02-10,509.4161
5779,2022-02-11,512.826
5780,2022-02-14,507.5435
5781,2022-02-15,504.7492
5782,2022-02-16,507.0506
5783,2022-02-17,516.7872
5784,2022-02-18,516.4246
5785,2022-02-21,519.3918
5786,2022-02-22,519.1698
5787,2022-02-23,528.4118
5788,2022-02-24,520.6004
5789,2022-02-25,521.3038
5790,2022-02-28,514.1489
5791,2022-03-01,503.1674
5792,2022-03-02,504.7495
5793,2022-03-03,505.6316
5794,2022-03-04,504.6233
5795,2022-03-07,504.411
5796,2022-03-08,518.6513
5797,2022-03-09,517.7387
5798,2022-03-10,520.3416
5799,2022-03-11,517.6372
5800,2022-03-14,519.2545
5801,2022-03-15,518.432
5802,2022-03-16,516.825
5803,2022-03-17,525.4534
5804,2022-03-18,531.2109
5805,2022-03-21,532.1264
5806,2022-03-22,521.6911
5807,2022-03-23,520.3011
5808,2022-03-24,533.1283
5809,2022-03-25,532.3194
5810,2022-03-28,537.8012
5811,2022-03-29,544.965
5812,2022-03-30,546.3002
5813,2022-03-31,542.5392
5814,2022-04-01,531.285
5815,2022-04-04,534.7762
5816,2022-04-05,531.2213
5817,2022-04-06,532.3217
5818,2022-04-07,526.7582
5819,2022-04-08,525.7986
5820,2022-04-11,526.2264
5821,2022-04-12,527.7466
5822,2022-04-13,522.8529
5823,2022-04-14,528.6739
5824,2022-04-15,526.1696
5825,2022-04-18,518.7241
5826,2022-04-19,518.493
5827,2022-04-20,518.9178
5828,2022-04-21,519.9214
5829,2022-04-22,526.4763
5830,2022-04-25,525.6507
5831,2022-04-26,525.3674
5832,2022-04-27,520.5493
5833,2022-04-28,524.6005
5834,2022-04-29,525.7251
5835,2022-05-02,524.0515
5836,2022-05-03,515.5881
5837,2022-05-04,522.4674
5838,2022-05-05,517.1078
5839,2022-05-06,514.6837
5840,2022-05-09,516.5793
5841,2022-05-10,511.4204
5842,2022-05-11,504.9889
5843,2022-05-12,495.8735
5844,2022-05-13,499.2941
5845,2022-05-16,497.1556
5846,2022-05-17,510.4206
5847,2022-05-18,506.2251
5848,2022-05-19,502.3871
5849,2022-05-20,500.1462
5850,2022-05-23,501.4785
5851,2022-05-24,499.6609
5852,2022-05-25,502.6257
5853,2022-05-26,498.5637
5854,2022-05-27,492.78
5855,2022-05-30,485.277
5856,2022-05-31,476.0989
5857,2022-06-01,474.1732
5858,2022-06-02,473.1602
5859,2022-06-03,470.7754
5860,2022-06-06,476.2119
5861,2022-06-07,481.6458
5862,2022-06-08,480.4735
5863,2022-06-09,473.1759
5864,2022-06-10,471.0598
5865,2022-06-13,468.8163
5866,2022-06-14,466.3477
5867,2022-06-15,463.7261
5868,2022-06-16,461.2993
5869,2022-06-17,459.9666
5870,2022-06-20,457.6317
5871,2022-06-21,458.7099
5872,2022-06-22,460.4075
5873,2022-06-23,456.9604
5874,2022-06-24,462.3501
5875,2022-06-27,458.6076
5876,2022-06-28,452.344
5877,2022-06-29,454.0998
5878,2022-06-30,451.0707
5879,2022-07-01,452.584
5880,2022-07-04,443.3196
5881,2022-07-05,449.0289
5882,2022-07-06,451.9322
5883,2022-07-07,446.2213
5884,2022-07-08,440.6669
5885,2022-07-11,447.4448
5886,2022-07-12,444.7739
5887,2022-07-13,441.7416
5888,2022-07-14,433.2246
5889,2022-07-15,432.1093
5890,2022-07-18,431.4649
5891,2022-07-19,434.4201
5892,2022-07-20,429.3142
5893,2022-07-21,423.8151
5894,2022-07-22,425.7236
5895,2022-07-25,429.7419
5896,2022-07-26,424.047
5897,2022-07-27,428.3319
5898,2022-07-28,428.6948
5899,2022-07-29,433.0659
5900,2022-08-01,433.0211
5901,2022-08-02,423.7137
5902,2022-08-03,423.3646
5903,2022-08-04,427.5619
5904,2022-08-05,424.424
5905,2022-08-08,423.1925
5906,2022-08-09,422.7537
5907,2022-08-10,412.293
5908,2022-08-11,418.6311
5909,2022-08-12,415.5307
5910,2022-08-15,417.6036
5911,2022-08-16,417.4997
5912,2022-08-17,422.3739
5913,2022-08-18,424.1079
5914,2022-08-19,423.4485
5915,2022-08-22,420.3416
5916,2022-08-23,423.5281
5917,2022-08-24,416.803
5918,2022-08-25,419.4003
5919,2022-08-26,415.5691
5920,2022-08-29,420.401
5921,2022-08-30,421.2166
5922,2022-08-31,423.8348
5923,2022-09-01,424.3603
5924,2022-09-02,418.068
5925,2022-09-05,415.1206
5926,2022-09-06,417.805
5927,2022-09-07,418.6355
5928,2022-09-08,423.2368
5929,2022-09-09,424.9639
5930,2022-09-12,421.5737
5931,2022-09-13,418.8403
5932,2022-09-14,419.437
5933,2022-09-15,411.1759
5934,2022-09-16,417.5046
5935,2022-09-19,419.3505
5936,2022-09-20,424.1319
5937,2022-09-21,418.4765
5938,2022-09-22,423.3133
5939,2022-09-23,431.9494
5940,2022-09-26,427.1671
5941,2022-09-27,430.305
5942,2022-09-28,430.5313
5943,2022-09-29,424.9261
5944,2022-09-30,426.9974
5945,2022-10-03,430.3701
5946,2022-10-04,428.3154
5947,2022-10-05,432.9656
5948,2022-10-06,426.8679
5949,2022-10-07,421.495
5950,2022-10-10,422.2208
5951,2022-10-11,422.5333
5952,2022-10-12,420.0881
5953,2022-10-13,423.3166
5954,2022-10-14,425.5227
5955,2022-10-17,428.9765
5956,2022-10-18,428.7321
5957,2022-10-19,431.2389
5958,2022-10-20,429.769
5959,2022-10-21,437.8501
5960,2022-10-24,434.9481
5961,2022-10-25,443.3278
5962,2022-10-26,443.6931
5963,2022-10-27,438.5694
5964,2022-10-28,444.122
5965,2022-10-31,444.8448
5966,2022-11-01,448.4277
5967,2022-11-02,453.5279
5968,2022-11-03,455.1164
5969,2022-11-04,452.9791
5970,2022-11-07,457.1295
5971,2022-11-08,457.3685
5972,2022-11-09,460.3808
5973,2022-11-10,451.9519
5974,2022-11-11,453.9711
5975,2022-11-14,451.6546
5976,2022-11-15,458.5248
5977,2022-11-16,461.2893
5978,2022-11-17,462.5046
5979,2022-11-18,464.7322
5980,2022-11-21,460.8957
5981,2022-11-22,467.7825
5982,2022-11-23,476.316
5983,2022-11-24,478.216
5984,2022-11-25,485.221
5985,2022-11-28,483.0407
5986,2022-11-29,479.9044
5987,2022-11-30,480.3253
5988,2022-12-01,482.4201
5989,2022-12-02,480.9949
5990,2022-12-05,483.5309
5991,2022-12-06,485.0894
5992,2022-12-07,481.0854
5993,2022-12-08,483.5409
